Shimmer_B640_Timestamp_FormattedUnix_CAL,Shimmer_B640_PPG_A13_CAL
yyyy/mm/dd hh:mm:ss.000,mV
51:19.9,1712.820513
51:19.9,1693.772894
51:19.9,1672.527473
51:19.9,1651.282051
51:19.9,1629.304029
51:19.9,1607.326007
51:19.9,1588.278388
51:19.9,1573.626374
51:19.9,1563.369963
51:19.9,1558.974359
51:19.9,1556.043956
51:20.0,1556.776557
51:20.0,1556.043956
51:20.0,1555.311355
51:20.0,1556.043956
51:20.0,1552.380952
51:20.0,1545.787546
51:20.0,1540.659341
51:20.0,1531.868132
51:20.0,1520.879121
51:20.0,1509.157509
51:20.0,1496.703297
51:20.0,1482.783883
51:20.0,1468.864469
51:20.1,1457.875458
51:20.1,1446.153846
51:20.1,1432.234432
51:20.1,1420.512821
51:20.1,1406.593407
51:20.1,1394.871795
51:20.1,1380.21978
51:20.1,1367.032967
51:20.1,1352.380952
51:20.1,1337.728938
51:20.1,1325.274725
51:20.1,1312.820513
51:20.1,1301.831502
51:20.2,1294.505495
51:20.2,1289.377289
51:20.2,1286.446886
51:20.2,1282.051282
51:20.2,1280.586081
51:20.2,1279.120879
51:20.2,1276.190476
51:20.2,1273.992674
51:20.2,1270.32967
51:20.2,1267.399267
51:20.2,1264.468864
51:20.2,1260.07326
51:20.3,1256.410256
51:20.3,1251.282051
51:20.3,1246.153846
51:20.3,1237.362637
51:20.3,1229.304029
51:20.3,1221.245421
51:20.3,1216.117216
51:20.3,1211.721612
51:20.3,1208.791209
51:20.3,1208.058608
51:20.3,1207.326007
51:20.3,1205.860806
51:20.3,1203.663004
51:20.4,1205.128205
51:20.4,1205.860806
51:20.4,1205.860806
51:20.4,1207.326007
51:20.4,1207.326007
51:20.4,1206.593407
51:20.4,1205.128205
51:20.4,1205.128205
51:20.4,1203.663004
51:20.4,1201.465201
51:20.4,1201.465201
51:20.4,1201.465201
51:20.4,1200
51:20.5,1200.732601
51:20.5,1201.465201
51:20.5,1204.395604
51:20.5,1206.593407
51:20.5,1211.721612
51:20.5,1215.384615
51:20.5,1219.78022
51:20.5,1224.175824
51:20.5,1229.304029
51:20.5,1232.967033
51:20.5,1235.164835
51:20.5,1237.362637
51:20.5,1236.630037
51:20.6,1235.897436
51:20.6,1232.967033
51:20.6,1231.501832
51:20.6,1227.106227
51:20.6,1223.443223
51:20.6,1220.512821
51:20.6,1219.78022
51:20.6,1219.78022
51:20.6,1221.978022
51:20.6,1222.710623
51:20.6,1221.978022
51:20.6,1220.512821
51:20.6,1220.512821
51:20.7,1219.78022
51:20.7,1219.78022
51:20.7,1220.512821
51:20.7,1222.710623
51:20.7,1226.373626
51:20.7,1231.501832
51:20.7,1242.490842
51:20.7,1262.271062
51:20.7,1288.644689
51:20.7,1322.344322
51:20.7,1361.172161
51:20.7,1406.593407
51:20.8,1459.340659
51:20.8,1515.018315
51:20.8,1570.695971
51:20.8,1621.978022
51:20.8,1670.32967
51:20.8,1711.355311
51:20.8,1743.589744
51:20.8,1765.567766
51:20.8,1778.754579
51:20.8,1783.150183
51:20.8,1780.952381
51:20.8,1773.626374
51:20.8,1761.172161
51:20.9,1745.054945
51:20.9,1727.472527
51:20.9,1706.959707
51:20.9,1684.249084
51:20.9,1660.07326
51:20.9,1634.432234
51:20.9,1608.791209
51:20.9,1586.813187
51:20.9,1564.835165
51:20.9,1544.322344
51:20.9,1530.40293
51:20.9,1519.413919
51:20.9,1508.424908
51:21.0,1501.098901
51:21.0,1495.970696
51:21.0,1496.703297
51:21.0,1500.3663
51:21.0,1506.227106
51:21.0,1512.820513
51:21.0,1520.879121
51:21.0,1526.739927
51:21.0,1528.205128
51:21.0,1532.600733
51:21.0,1530.40293
51:21.0,1522.344322
51:21.0,1510.622711
51:21.1,1495.970696
51:21.1,1479.85348
51:21.1,1463.736264
51:21.1,1448.351648
51:21.1,1430.03663
51:21.1,1413.919414
51:21.1,1397.802198
51:21.1,1384.615385
51:21.1,1372.893773
51:21.1,1361.904762
51:21.1,1350.18315
51:21.1,1341.391941
51:21.1,1333.333333
51:21.2,1326.739927
51:21.2,1320.14652
51:21.2,1311.355311
51:21.2,1296.703297
51:21.2,1282.783883
51:21.2,1266.666667
51:21.2,1253.479853
51:21.2,1241.758242
51:21.2,1231.501832
51:21.2,1223.443223
51:21.2,1218.315018
51:21.2,1213.186813
51:21.3,1210.25641
51:21.3,1208.791209
51:21.3,1208.058608
51:21.3,1207.326007
51:21.3,1210.25641
51:21.3,1214.652015
51:21.3,1217.582418
51:21.3,1224.908425
51:21.3,1230.769231
51:21.3,1235.164835
51:21.3,1238.827839
51:21.3,1240.29304
51:21.3,1241.025641
51:21.4,1241.758242
51:21.4,1241.025641
51:21.4,1238.827839
51:21.4,1238.095238
51:21.4,1235.897436
51:21.4,1234.432234
51:21.4,1233.699634
51:21.4,1235.164835
51:21.4,1234.432234
51:21.4,1232.967033
51:21.4,1230.769231
51:21.4,1228.571429
51:21.4,1227.106227
51:21.5,1224.908425
51:21.5,1222.710623
51:21.5,1220.512821
51:21.5,1217.582418
51:21.5,1217.582418
51:21.5,1216.117216
51:21.5,1215.384615
51:21.5,1215.384615
51:21.5,1217.582418
51:21.5,1221.978022
51:21.5,1224.908425
51:21.5,1229.304029
51:21.5,1233.699634
51:21.6,1236.630037
51:21.6,1240.29304
51:21.6,1242.490842
51:21.6,1242.490842
51:21.6,1243.223443
51:21.6,1241.758242
